"id","CategoryI","CategoryI_Duration","CategoryII","CategoryII_Duration","CategoryIII","CategoryIII_Duration","Bounce_Rate","Exit_Rate","Page_Value","SpecialDay","Month","OS","Browser","Region","TrafficType","VisitorType","Weekend"
1862,0,0,0,0,7,232.6666667,0,0.014285714,0,0,"Mar","2","2","6","2","Returning_Visitor","FALSE"
11325,0,0,0,0,11,1712.416667,0.018181818,0.036363636,0,0,"Nov","3","2","1","10","Returning_Visitor","TRUE"
6157,5,44.01666667,0,0,4,162.5333333,0,0,39.27673964,0,"Aug","4","2","1","2","Returning_Visitor","FALSE"
8987,0,0,0,0,3,75.5,0,0.066666667,0,0,"Dec","3","2","4","2","Returning_Visitor","TRUE"
7155,1,30.7,0,0,33,1148.333333,0,0.020833333,0,0,"Aug","2","5","6","1","Returning_Visitor","FALSE"
892,0,0,0,0,27,1206,0.016,0.032,0,0,"Mar","2","2","1","1","Returning_Visitor","FALSE"
6858,1,6,0,0,97,1643.365907,0.005666667,0.015870587,24.21760276,0,"Jul","2","2","1","1","Returning_Visitor","FALSE"
8066,11,524.75,3,258.625,197,6309.427034,0.006113821,0.011878229,3.364060957,0,"Nov","2","10","1","2","Returning_Visitor","FALSE"
1267,5,487.5,0,0,11,500,0,0.015384615,0,0,"Mar","1","8","1","11","New_Visitor","FALSE"
2708,1,69.5,0,0,16,895.8095238,0,0.004444444,32.14213333,0.6,"May","3","2","2","6","Returning_Visitor","FALSE"
10327,4,793.5,0,0,61,2440.473611,0.00625,0.014867424,12.58179402,0,"Nov","3","2","9","2","Returning_Visitor","TRUE"
10647,1,24.5,0,0,47,1330.375,0.004347826,0.015450311,0,0,"Dec","2","2","7","8","New_Visitor","FALSE"
4353,7,340.6111111,2,129,57,4516.588312,0.005,0.015180847,8.052616667,0,"May","2","2","1","2","Returning_Visitor","FALSE"
10603,0,0,0,0,4,121.5,0,0.05,0,0,"Nov","1","1","4","8","Returning_Visitor","FALSE"
6338,0,0,0,0,80,1566.333333,0.005,0.027916667,0.720181023,0,"Sep","2","2","6","1","Returning_Visitor","FALSE"
11164,16,237.35,0,0,46,1143.833333,0.009803922,0.014488017,0,0,"Nov","3","2","4","1","Returning_Visitor","TRUE"
5339,1,62,1,172,58,1341.261111,0.004597701,0.009827586,0,0,"May","3","2","4","4","Returning_Visitor","FALSE"
8948,3,19,1,106,17,475.6666667,0,0.023582766,0,0,"Nov","1","10","3","2","Returning_Visitor","FALSE"
2415,10,513.5535714,9,186,105,8704.372405,0.026260504,0.050212934,2.579064935,0,"May","3","2","2","11","Returning_Visitor","TRUE"
5173,2,32,0,0,16,230.1,0,0.0125,0,0,"May","2","2","2","1","Returning_Visitor","TRUE"
8904,1,0,1,13.83333333,65,3174.088455,0.017014925,0.040540739,0,0,"Dec","3","2","2","13","Returning_Visitor","TRUE"
3146,7,84.55,0,0,48,805.0992979,0,0.031196581,8.781144231,0,"May","2","2","1","2","Returning_Visitor","FALSE"
497,0,0,0,0,5,77,0,0.04,0,0,"Mar","2","4","1","3","Returning_Visitor","TRUE"
389,0,0,0,0,8,551.1666667,0.025,0.035,0,0,"Mar","3","2","2","3","Returning_Visitor","FALSE"
11717,0,0,0,0,13,215.952381,0,0.018181818,0,0,"Nov","3","2","6","2","New_Visitor","FALSE"
1444,0,0,3,100,22,2175.993651,0.01,0.049312469,0,0,"Mar","2","2","3","1","Returning_Visitor","FALSE"
6698,0,0,2,11.4,43,763.6614286,0.004545455,0.021212121,0,0,"Nov","2","2","1","1","Returning_Visitor","FALSE"
8797,2,13,0,0,3,200,0,0.05,0,0,"Dec","2","2","1","8","New_Visitor","FALSE"
6606,0,0,0,0,28,1555.601212,0,0.009511278,0,0,"Nov","3","2","2","2","Returning_Visitor","FALSE"
2246,1,299,0,0,4,212.5,0,0.04,0,0,"May","2","2","2","1","Returning_Visitor","TRUE"
555,0,0,1,90,11,1056.5,0.018181818,0.054545455,0,0,"Mar","4","2","1","2","Returning_Visitor","FALSE"
606,3,68.5,0,0,37,1121.205556,0.005405405,0.00113798,0,0,"Mar","1","1","1","2","Returning_Visitor","TRUE"
2546,0,0,0,0,3,109,0,0.033333333,0,0,"May","3","2","4","4","Returning_Visitor","TRUE"
6308,1,32.2,0,0,32,396.4714286,0.021212121,0.050688705,0,0,"Jul","1","1","2","3","Returning_Visitor","TRUE"
4375,1,43.66666667,0,0,57,4555.02381,0,0.030621469,9.102937419,0,"May","2","2","1","1","Returning_Visitor","FALSE"
9772,0,0,0,0,8,463.6666667,0,0.0375,0,0,"Nov","1","1","1","3","Returning_Visitor","FALSE"
12237,0,0,0,0,112,6673.291392,0,0.008744589,5.468093499,0,"Nov","2","4","1","3","Returning_Visitor","FALSE"
3479,0,0,2,23,15,506,0.033333333,0.06,0,0.6,"May","2","2","1","4","Returning_Visitor","FALSE"
1605,14,1130.502941,6,261.6333333,26,2559.898333,0.015789474,0.017422643,20.30438949,0,"Mar","1","2","1","2","Returning_Visitor","FALSE"
6990,0,0,0,0,3,40.4,0,0.066666667,0,0,"June","2","2","1","4","Returning_Visitor","TRUE"
3871,2,87.25,0,0,56,2094.983333,0.032738095,0.063214286,0,0.8,"May","2","4","3","3","Returning_Visitor","FALSE"
2238,4,91,1,188,160,2418.52904,0.004878049,0.017369338,0.58275,0,"May","2","6","1","6","Returning_Visitor","FALSE"
2124,0,0,0,0,19,583.1666667,0.010526316,0.030701754,0,0.8,"May","2","4","1","3","Returning_Visitor","FALSE"
1106,6,60,2,61,23,1031.704762,0,0.007111111,33.14784917,0,"Mar","4","2","9","10","Returning_Visitor","TRUE"
1402,0,0,0,0,7,286.5,0,0.042857143,0,0,"Mar","3","3","3","1","Returning_Visitor","FALSE"
4377,0,0,0,0,4,137,0.15,0.15,0,0.2,"May","3","3","2","11","Returning_Visitor","FALSE"
2328,3,231,0,0,16,386.4444444,0,0.02745098,0,0.2,"May","1","1","1","3","Returning_Visitor","FALSE"
8774,2,13,0,0,23,441,0.066666667,0.101449275,0,0,"Nov","2","2","1","1","Returning_Visitor","FALSE"
7733,0,0,0,0,1,0,0.2,0.2,0,0,"Sep","1","1","2","2","Returning_Visitor","FALSE"
10158,4,119.3333333,0,0,174,5602.593506,0,0.009057596,0,0,"Dec","2","2","4","1","Returning_Visitor","FALSE"
3002,0,0,0,0,22,555.8666667,0.00952381,0.019047619,0,0,"May","3","2","3","13","Returning_Visitor","TRUE"
9849,6,279,2,69.5,41,1430.25,0,0.009929078,3.836079931,0,"Dec","2","2","2","7","Returning_Visitor","FALSE"
9321,0,0,0,0,53,661.4455285,0.000754717,0.006528045,0,0,"Nov","3","2","1","11","Returning_Visitor","TRUE"
3022,0,0,0,0,90,601.7901961,0.002222222,0.012763533,0,0.8,"May","2","2","3","1","Returning_Visitor","FALSE"
5617,4,459.5,4,199.1,94,6186.17226,0.022541254,0.03820917,3.085103642,0,"Jul","3","2","8","13","Returning_Visitor","FALSE"
10808,0,0,1,8,38,2370.729167,0.015384615,0.030433925,0,0,"Nov","2","10","2","2","Returning_Visitor","FALSE"
9202,3,182.6428571,3,119.375,64,2671.06994,0.000275482,0.017352092,37.59646822,0,"Nov","2","5","6","2","Returning_Visitor","FALSE"
7224,3,294.2,2,108.9,60,1994.023778,0.022153846,0.037014927,0,0,"Sep","3","2","6","2","Returning_Visitor","FALSE"
6199,3,50.37333333,4,63.1,91,3827.498846,0.057801418,0.072399527,0,0,"Sep","3","2","6","13","Returning_Visitor","FALSE"
10972,1,81,0,0,93,3359.625,0,0.015104167,0,0,"Nov","2","2","3","1","Returning_Visitor","FALSE"
5664,0,0,0,0,41,817.7958109,0.034492302,0.05715957,0,0,"June","3","2","1","13","Returning_Visitor","FALSE"
8800,1,34.5,0,0,18,3026.374242,0,0.005263158,38.92648303,0,"Dec","1","1","3","2","Returning_Visitor","FALSE"
5520,3,56.8,1,3,73,1677.666667,0.010666667,0.040444444,0,0,"June","2","2","7","1","Returning_Visitor","FALSE"
9001,0,0,2,861,12,2250.35,0.014285714,0.030952381,0,0,"Nov","1","1","3","2","Returning_Visitor","TRUE"
11159,1,11,1,0,12,91.75,0,0.038095238,0,0,"Nov","1","1","1","3","Returning_Visitor","FALSE"
2594,0,0,0,0,20,2065.15,0.005,0.034444444,0,0.8,"May","1","1","1","3","Returning_Visitor","FALSE"
9592,6,75.41666667,1,105,21,752.5666667,0.015384615,0.022435897,7.072429969,0,"Nov","1","1","4","10","Returning_Visitor","TRUE"
118,0,0,0,0,11,577,0.018181818,0.027272727,0,0.2,"Feb","2","2","3","1","Returning_Visitor","FALSE"
5013,0,0,3,103.1666667,21,1586.333333,0.016666667,0.033333333,0,0,"May","2","2","1","2","Returning_Visitor","FALSE"
1627,0,0,0,0,1,0,0,0.2,0,0,"Mar","2","2","1","1","Returning_Visitor","FALSE"
3307,0,0,0,0,7,578.2,0,0.033333333,58.488,0,"May","2","5","3","6","Returning_Visitor","TRUE"
52,0,0,0,0,12,265.1666667,0.011111111,0.026111111,0,0.2,"Feb","3","2","1","3","Returning_Visitor","FALSE"
8369,0,0,0,0,25,952.6777778,0,0.023541667,23.57537117,0,"Nov","2","2","3","11","Returning_Visitor","FALSE"
9837,4,43.92857143,0,0,182,9951.359644,0.003850267,0.021183788,8.665280918,0,"Nov","2","2","1","2","Returning_Visitor","FALSE"
999,0,0,0,0,15,1074.428571,0.015384615,0.021538462,0,0,"Mar","3","2","1","1","Returning_Visitor","FALSE"
1020,0,0,0,0,10,189.5,0,0.036666667,0,0,"Mar","3","2","3","3","Returning_Visitor","FALSE"
608,0,0,0,0,3,234,0,0.033333333,0,0,"Mar","1","2","1","2","Returning_Visitor","TRUE"
531,1,3,0,0,40,624.75,0,0.014634146,0,0,"Mar","3","7","3","3","Returning_Visitor","FALSE"
10777,5,111.6666667,1,123.5,42,1610.783197,0.009090909,0.017794258,4.646503212,0,"Dec","3","2","3","2","Returning_Visitor","FALSE"
7589,10,196.25,1,46.4,271,12292.46381,0.005995204,0.02001083,0.038034542,0,"Jul","2","2","2","3","Returning_Visitor","TRUE"
3524,16,284.85,0,0,276,4758.380638,0.001034483,0.007306262,27.43209507,0,"May","4","1","3","1","Returning_Visitor","TRUE"
10322,0,0,0,0,19,421,0,0.010526316,0,0,"Dec","2","2","6","3","Returning_Visitor","FALSE"
10354,3,62.5,0,0,46,1048.107143,0.004,0.013,20.88414313,0,"Dec","2","2","3","2","Returning_Visitor","FALSE"
3592,0,0,0,0,12,336.8,0,0.006666667,0,0.6,"May","2","2","1","2","Returning_Visitor","FALSE"
3283,0,0,0,0,5,36,0.066666667,0.1,0,0,"May","2","5","3","6","Returning_Visitor","FALSE"
7688,0,0,0,0,6,31,0,0.033333333,0,0,"Oct","2","5","1","1","Returning_Visitor","FALSE"
60,2,16,0,0,16,381.6865079,0.011764706,0.046568627,0,0.6,"Feb","2","4","2","1","Returning_Visitor","FALSE"
5125,0,0,0,0,22,815.8333333,0,0.01,0,0,"May","2","4","1","1","Returning_Visitor","FALSE"
3560,0,0,0,0,13,252,0,0.061538462,0,0,"May","2","2","8","3","Returning_Visitor","FALSE"
6434,0,0,0,0,9,249.41,0.022222222,0.005128205,0,0,"Nov","1","2","1","4","Returning_Visitor","FALSE"
2231,7,186.1,0,0,32,906.3,0.005128205,0.025641026,20.91692308,0,"May","2","2","1","1","Returning_Visitor","FALSE"
7629,3,81.6,0,0,13,443.9,0,0.0125,0,0,"Sep","1","1","5","5","New_Visitor","FALSE"
12225,0,0,0,0,3,52.5,0.066666667,0.1,0,0,"Dec","3","2","3","3","Returning_Visitor","FALSE"
10636,4,27,0,0,9,79.25,0,0.046153846,0,0,"Nov","2","2","3","1","Returning_Visitor","FALSE"
7055,6,109.2,0,0,31,663.2777778,0.005882353,0.007058824,0,0,"Oct","1","1","1","3","Returning_Visitor","FALSE"
3882,4,157,0,0,41,896.0666667,0,0.013043478,4.430347826,0.2,"May","2","6","2","13","Returning_Visitor","FALSE"
9827,0,0,0,0,22,1664,0.03030303,0.032424242,0,0,"Nov","1","1","1","2","Returning_Visitor","FALSE"
4989,0,0,0,0,3,31,0.066666667,0.133333333,0,0,"May","2","2","4","3","Returning_Visitor","FALSE"
461,0,0,0,0,15,638.6428571,0.003571429,0.053571429,0,0,"Mar","3","2","1","1","Returning_Visitor","FALSE"
8736,0,0,0,0,13,555.5029412,0.036363636,0.020095694,47.99199256,0,"Nov","4","2","4","2","New_Visitor","FALSE"
9897,0,0,1,0,26,668.5,0,0.007407407,0,0,"Nov","2","2","3","1","Returning_Visitor","FALSE"
6277,2,82.6,6,316,34,1446.733333,0,0.002439024,0,0,"Oct","4","1","4","2","New_Visitor","TRUE"
9578,7,218.8333333,0,0,33,916.4583333,0,0.013333333,0,0,"Dec","2","2","1","2","Returning_Visitor","FALSE"
2112,1,397.5,3,89.5,8,249,0.066666667,0.091666667,0,0,"May","3","2","1","6","Returning_Visitor","TRUE"
222,0,0,0,0,5,23,0.08,0.12,0,0,"Mar","2","2","1","1","Returning_Visitor","FALSE"
12,0,0,0,0,16,407.75,0.01875,0.025833333,0,0.4,"Feb","1","1","4","3","Returning_Visitor","FALSE"
5121,0,0,0,0,3,96,0,0.066666667,0,0,"May","1","8","6","11","Returning_Visitor","TRUE"
4083,2,37,0,0,24,1270.166667,0.013043478,0.017391304,0,0,"May","2","2","1","6","Returning_Visitor","FALSE"
3298,0,0,0,0,8,203,0.0125,0.0375,0,0,"May","2","2","5","2","Returning_Visitor","TRUE"
7512,0,0,0,0,13,472.4333333,0,0.004395604,0,0,"Jul","2","2","3","2","Returning_Visitor","FALSE"
3060,0,0,0,0,5,164,0,0.04,0,0,"May","4","1","1","1","Returning_Visitor","FALSE"
3271,7,89.9,3,84,58,2787.25,0,0.007715618,98.04262564,0,"May","2","2","1","2","Returning_Visitor","FALSE"
2968,8,249,1,36.33333333,31,1124.916667,0,0.014672365,18.08584615,0,"May","2","4","5","5","New_Visitor","FALSE"
11632,4,64.5,0,0,17,145.5,0.0125,0.025,0,0,"Nov","2","2","4","8","Returning_Visitor","FALSE"
5254,0,0,0,0,1,0,0.2,0.2,0,0.6,"May","2","2","1","1","Returning_Visitor","FALSE"
4515,13,318.7202381,1,0,60,1205.945238,0.008823529,0.01709646,5.710061275,0,"May","2","2","3","13","Returning_Visitor","FALSE"
6610,3,47.2,0,0,2,12,0,0.04,0,0,"Sep","2","5","4","2","New_Visitor","FALSE"
7621,1,5,2,33.3,16,521.5,0.010526316,0.021052632,0,0,"Jul","2","2","7","1","Returning_Visitor","FALSE"
2817,3,52,0,0,56,2145.563492,0.011403509,0.025292398,13.11733918,0,"May","2","2","1","14","Returning_Visitor","FALSE"
5737,1,5.5,0,0,103,1955.168685,0.015359477,0.037057104,0,0,"June","2","2","9","13","Returning_Visitor","TRUE"
7721,0,0,0,0,71,1094.310476,0,0.009285714,4.718931118,0,"Oct","4","1","2","2","Returning_Visitor","FALSE"
9601,5,488.462963,0,0,56,3327.537566,0.006578947,0.022060248,0,0,"Dec","2","2","3","1","Returning_Visitor","FALSE"
3623,0,0,0,0,11,142.1666667,0.02,0.03,0,0,"May","2","2","9","4","Returning_Visitor","TRUE"
3764,4,318.6666667,0,0,32,1205.583333,0.006451613,0.010752688,37.60935484,0,"May","2","2","1","2","Returning_Visitor","TRUE"
11105,4,140.75,2,8,16,2073.383333,0,0.016666667,0,0,"Nov","3","2","3","2","Returning_Visitor","FALSE"
10004,1,55.5,0,0,53,4048.583333,0.007843137,0.015490196,0,0,"Dec","4","1","1","1","Returning_Visitor","FALSE"
5969,3,230.1,0,0,35,905.1226263,0.017647059,0.019206774,0,0,"Jul","3","2","6","1","Returning_Visitor","FALSE"
7712,0,0,0,0,5,131.8333333,0,0.013333333,36.13790493,0,"June","1","1","1","5","New_Visitor","FALSE"
6479,2,126,1,6,47,1101.803333,0,0.002721088,4.406578162,0,"Nov","2","2","1","4","Returning_Visitor","FALSE"
11494,1,68.5,0,0,11,372.8166667,0,0.036363636,54.76629511,0,"Dec","1","1","1","2","Returning_Visitor","FALSE"
10597,0,0,0,0,7,108.25,0,0.028571429,0,0,"Dec","2","2","7","2","New_Visitor","TRUE"
8122,9,192.9204545,2,114.5,60,1394.236526,0,0.003030303,63.64653548,0,"Dec","2","2","7","2","Returning_Visitor","FALSE"
936,0,0,0,0,5,161.3333333,0,0.05,0,0,"Mar","1","1","1","3","Returning_Visitor","FALSE"
7584,7,141.8388889,0,0,33,486.5600582,0.006666667,0.028784722,11.84059922,0,"June","2","2","3","1","Returning_Visitor","FALSE"
412,4,174,1,18.5,11,305.875,0,0.001709402,0,0,"Mar","1","2","3","8","New_Visitor","TRUE"
11730,0,0,0,0,13,210.5,0.030769231,0.046153846,0,0,"Dec","2","2","1","1","Returning_Visitor","FALSE"
4640,0,0,0,0,2,0,0.066666667,0.133333333,0,0,"May","2","2","2","4","Returning_Visitor","TRUE"
12311,1,0,2,211.25,144,4627.489571,0.001360544,0.020664031,0,0,"Nov","2","2","1","2","Returning_Visitor","FALSE"
962,3,139,0,0,10,277.1428571,0,0.007692308,0,0,"Mar","3","2","1","2","Returning_Visitor","TRUE"
7422,5,73.8,0,0,5,82.5,0,0.028571429,0,0,"Aug","2","5","6","5","New_Visitor","FALSE"
2141,0,0,0,0,22,370.3333333,0.018181818,0.054545455,0,0.6,"May","2","2","4","13","Returning_Visitor","FALSE"
11589,0,0,0,0,24,381.25,0.0125,0.0625,0,0,"Nov","2","2","1","11","New_Visitor","TRUE"
5467,4,204.2,0,0,31,652.3766667,0.012121212,0.016161616,0,0,"Nov","1","1","6","1","Returning_Visitor","FALSE"
4065,8,246.5,0,0,74,2326.666667,0,0.002597403,5.015272727,0,"May","2","4","3","2","New_Visitor","FALSE"
8471,0,0,0,0,49,1385.85,0,0.013265306,0,0,"Dec","2","2","4","3","Returning_Visitor","FALSE"
1548,6,77.33333333,1,52.33333333,6,126.6666667,0,0.016666667,0,0,"Mar","1","1","1","2","Returning_Visitor","FALSE"
12147,4,62.5,0,0,53,1840.369156,0.007407407,0.023148148,46.77831787,0,"Dec","1","1","2","2","Returning_Visitor","FALSE"
4906,1,56,0,0,17,831.3888889,0.033333333,0.059259259,0,0,"May","3","2","4","3","Returning_Visitor","FALSE"
5818,7,123.2,0,0,16,283.7214286,0.014473684,0.022222222,0,0,"Jul","3","2","3","13","Returning_Visitor","FALSE"
252,0,0,0,0,18,5188.5,0,0.05,0,0,"Mar","2","5","1","1","Returning_Visitor","FALSE"
8940,0,0,0,0,19,295.8333333,0,0.010526316,0,0,"Nov","2","2","2","2","New_Visitor","FALSE"
2250,0,0,0,0,15,298.1666667,0.013333333,0.044444444,0,0.4,"May","2","10","9","3","Returning_Visitor","FALSE"
3510,3,73.5,3,171,76,2208.788095,0,0.004756098,3.200304878,0,"May","4","1","7","2","Returning_Visitor","TRUE"
10577,1,0,0,0,0,0,0.2,0.2,0,0,"Nov","1","1","3","8","Returning_Visitor","FALSE"
7940,6,135.15,0,0,52,1199.22619,0.013095238,0.020257937,0,0,"Sep","3","2","3","13","Returning_Visitor","FALSE"
2372,0,0,0,0,19,5538.916667,0.024,0.055119048,0,0,"May","2","2","1","13","Returning_Visitor","TRUE"
5465,2,104.3,0,0,48,2307.661212,0.025510204,0.035488428,4.348145623,0,"Oct","1","1","4","1","Returning_Visitor","TRUE"
10389,0,0,0,0,8,96,0.025,0.05,0,0,"Nov","2","4","9","20","Returning_Visitor","FALSE"
5945,0,0,0,0,34,2091.480392,0.046212121,0.071855922,0,0,"Oct","1","1","8","1","Returning_Visitor","FALSE"
8735,1,21,0,0,16,375.9166667,0,0.007142857,0,0,"Dec","1","1","1","2","New_Visitor","FALSE"
5144,3,26,0,0,85,768.5,0,0.005813953,0,0,"May","2","5","4","4","Returning_Visitor","FALSE"
10744,0,0,0,0,6,93.5,0.016666667,0.066666667,0,0,"Dec","1","1","3","1","Returning_Visitor","TRUE"
1028,0,0,0,0,12,261,0.033333333,0.083333333,0,0,"Mar","2","2","7","1","Returning_Visitor","FALSE"
5596,7,68.4,0,0,145,5175.377371,0.002666667,0.008978355,2.042762326,0,"Aug","2","2","1","1","Returning_Visitor","FALSE"
1471,4,66.33333333,2,58.16666667,38,1524.702381,0,0.006628788,0,0,"Mar","2","2","3","2","New_Visitor","TRUE"
1225,0,0,0,0,3,25,0,0.066666667,0,0,"Mar","1","1","4","1","Returning_Visitor","FALSE"
9585,12,238.4833333,0,0,13,269.2333333,0,0.01,0,0,"Dec","2","10","1","3","New_Visitor","FALSE"
7807,3,189.4,4,130.76,93,3856.82978,0.037525773,0.06218704,7.542144271,0,"June","2","2","1","1","Returning_Visitor","FALSE"
2455,0,0,0,0,21,584.1333333,0,0.007142857,0,0,"May","2","2","4","4","Returning_Visitor","TRUE"
9020,1,7.625,0,0,21,1104.9,0,0.014603175,0,0,"Dec","2","2","1","1","Returning_Visitor","FALSE"
3436,0,0,0,0,4,112.5,0,0.05,0,0,"May","3","2","1","6","Returning_Visitor","FALSE"
4307,1,18,0,0,18,1188.95,0,0.011764706,39.186,0,"May","2","2","3","3","Returning_Visitor","FALSE"
1318,7,139.5,0,0,30,1448.752381,0.006060606,0.012878788,0,0,"Mar","1","2","3","2","New_Visitor","FALSE"
3584,0,0,0,0,18,292.5,0.013888889,0.01957672,0,0,"May","2","2","1","1","Returning_Visitor","FALSE"
8432,0,0,0,0,5,28.25,0.08,0.093333333,0,0,"Nov","2","2","1","2","Returning_Visitor","TRUE"
5965,6,177.6,0,0,17,284.7833333,0.009090909,0.022727273,31.99181419,0,"Oct","4","1","1","2","Returning_Visitor","FALSE"
10772,7,52.875,0,0,9,152.4166667,0,0.017777778,0,0,"Dec","2","2","4","2","New_Visitor","FALSE"
486,0,0,0,0,8,267,0,0.05,0,0,"Mar","2","2","3","3","Returning_Visitor","FALSE"
11978,10,150.2083333,0,0,14,221.2083333,0,0.012698413,0,0,"Dec","2","2","4","2","New_Visitor","FALSE"
8500,0,0,3,13,36,1042.507143,0.01025641,0.027136752,0,0,"Dec","1","1","3","1","Returning_Visitor","FALSE"
11060,4,102.0833333,0,0,21,863.1666667,0,0.015833333,0,0,"Dec","1","1","1","8","Returning_Visitor","FALSE"
2102,0,0,0,0,9,58,0.155555556,0.177777778,0,0,"May","1","1","1","3","Returning_Visitor","TRUE"
1229,2,12,0,0,43,2595.280952,0.009090909,0.025378788,0,0,"Mar","2","4","7","1","Returning_Visitor","FALSE"
8664,4,209.0625,0,0,71,3401.050687,0.005128205,0.026238576,0,0,"Nov","2","2","2","2","Returning_Visitor","FALSE"
8112,0,0,0,0,11,499,0,0.018181818,0,0,"Dec","4","1","1","2","Returning_Visitor","FALSE"
2008,3,221.5,4,172,28,1365.216667,0,0.012301587,0,0,"Mar","2","2","3","2","Returning_Visitor","FALSE"
6985,2,43.4,0,0,5,278,0,0.033333333,0,0,"Aug","2","2","1","2","New_Visitor","TRUE"
7273,2,6,0,0,37,501.7666667,0.01025641,0.020512821,0,0,"Sep","2","2","1","1","Returning_Visitor","FALSE"
2308,0,0,0,0,15,432.5,0,0.015384615,0,0,"May","2","6","6","1","Returning_Visitor","FALSE"
5215,3,137,4,219,22,924,0.007142857,0.028571429,29.90282143,0.2,"May","2","2","9","2","New_Visitor","FALSE"
4666,0,0,0,0,8,215,0.0625,0.058333333,0,1,"May","2","5","7","6","Returning_Visitor","TRUE"
971,4,59.25,0,0,9,139.25,0.015384615,0.031538462,0,0,"Mar","3","2","1","2","Returning_Visitor","FALSE"
10182,0,0,2,1368,26,650.8083333,0,0.014285714,0,0,"Nov","1","1","1","2","Returning_Visitor","TRUE"
7571,3,52.9,0,0,8,278.58,0,0.01,26.18180656,0,"Jul","1","1","1","2","New_Visitor","FALSE"
12195,6,60.875,0,0,57,3671.675,0.003278689,0.027595628,0,0,"Nov","2","2","1","2","Returning_Visitor","FALSE"
7553,6,473.7,1,42.4,47,2101.691541,0.007435897,0.02061552,0,0,"Jul","3","3","8","1","Returning_Visitor","TRUE"
199,0,0,0,0,17,840.2333333,0,0.001666667,109.176,0,"Mar","2","2","9","2","New_Visitor","FALSE"
4768,0,0,0,0,17,697.5166667,0,0.017647059,0,0.8,"May","2","2","1","2","Returning_Visitor","FALSE"
981,2,78.33333333,0,0,12,262.5,0.028571429,0.033333333,0,0,"Mar","1","1","1","1","Returning_Visitor","FALSE"
5645,5,68.8,0,0,33,781.5166667,0.005555556,0.008333333,22.53693712,0,"Jul","2","2","6","2","New_Visitor","TRUE"
7459,4,46.4,0,0,5,61.4,0,0.014285714,0,0,"Oct","2","2","4","4","New_Visitor","FALSE"
4796,1,17,0,0,10,109,0.036363636,0.045454545,0,0,"May","2","2","4","1","Returning_Visitor","FALSE"
5952,4,48.83243423,4,165.6666667,22,365.774339,0.004365079,0.015583028,0,0,"Aug","3","2","1","4","Returning_Visitor","FALSE"
