"CategoryI","CategoryI_Duration","CategoryII","CategoryII_Duration","CategoryIII","CategoryIII_Duration","Bounce_Rate","Exit_Rate","Page_Value","SpecialDay","Month","OS","Browser","Region","TrafficType","VisitorType","Weekend","Transaction"
0,0,0,0,25,1512.52381,0,0.024,0,0,"Mar","2","2","3","11","Returning_Visitor","FALSE",0
10,154.7916667,2,7,49,1714.868651,0.013711002,0.055127258,1.456951523,1,"May","1","1","1","2","Returning_Visitor","TRUE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Mar","3","2","1","1","Returning_Visitor","FALSE",0
23,335.1309524,5,399.8,88,1839.098106,0.015758703,0.031587556,0,0,"Aug","3","2","3","2","Returning_Visitor","TRUE",0
0,0,0,0,5,177.6666667,0,0.04,0,0,"May","1","1","1","4","New_Visitor","FALSE",0
3,54.5,4,472,14,678.5,0,0.010526316,0,0.6,"May","3","2","3","2","New_Visitor","FALSE",0
7,301.0777778,0,0,27,1538.056725,0.013333333,0.036382031,11.15668928,0,"Jul","3","2","3","2","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Dec","8","13","9","20","Other","FALSE",0
0,0,0,0,4,59.2,0,0.05,0,0,"Aug","2","4","9","4","Returning_Visitor","FALSE",0
0,0,0,0,6,279,0,0.033333333,0,0,"Dec","1","2","3","10","Returning_Visitor","TRUE",0
0,0,0,0,53,1121.433333,0.007843137,0.019607843,24.57349606,0,"Jul","2","4","9","1","Returning_Visitor","FALSE",1
0,0,0,0,4,46,0,0.05,0,0,"May","1","1","7","2","Returning_Visitor","FALSE",0
0,0,2,76.6,377,11729.40804,0.032877299,0.04524582,0,0,"Jul","3","2","1","3","Returning_Visitor","FALSE",0
4,86.6,0,0,12,193.75,0.008888889,0.016666667,0,0,"May","1","2","3","5","Returning_Visitor","FALSE",0
6,171.1190476,0,0,22,472.752381,0.028571429,0.029761905,0,0,"Nov","3","2","2","4","Returning_Visitor","FALSE",0
0,0,0,0,23,348.3833333,0.008695652,0.004347826,0,0,"Nov","1","1","3","2","New_Visitor","FALSE",0
0,0,0,0,22,925.8333333,0.018181818,0.048484848,0,0,"Mar","2","2","3","1","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0.4,"May","1","1","1","3","Returning_Visitor","FALSE",0
5,243,0,0,19,500.7880952,0,0.017105263,0,0,"May","1","1","1","4","Returning_Visitor","FALSE",0
0,0,0,0,63,1361.203175,0,0.014761905,0,0,"Nov","2","2","7","2","Returning_Visitor","FALSE",0
0,0,0,0,3,33.2,0,0.066666667,0,0,"June","1","1","3","1","Returning_Visitor","TRUE",0
2,64.75,0,0,44,1157.97619,0,0.013953488,0,0,"Nov","2","2","1","10","Returning_Visitor","FALSE",0
7,136.5,1,42.4,120,7604.397831,0.015762274,0.030675226,3.996742423,0,"Jul","2","2","2","1","Returning_Visitor","TRUE",1
0,0,0,0,12,157,0.008333333,0.033333333,0,0,"Nov","3","2","7","1","Returning_Visitor","FALSE",0
0,0,0,0,2,53.5,0.05,0.15,0,0,"Dec","3","3","5","20","Returning_Visitor","FALSE",0
3,28.5,0,0,8,181.6666667,0.022222222,0.044444444,0,0,"Dec","1","1","3","10","Returning_Visitor","FALSE",0
1,18,0,0,24,1332.25,0,0.008695652,0,0,"Dec","2","2","1","2","New_Visitor","FALSE",0
0,0,0,0,12,312.0333333,0,0.009090909,17.808,0,"May","2","2","8","6","Returning_Visitor","FALSE",1
1,29.5,0,0,50,1831.903509,0,0.010333333,52.03463312,0,"Dec","2","4","3","8","Returning_Visitor","FALSE",1
3,110.5357143,7,330.2666667,10,396.3452381,0.011111111,0.031834215,0,0,"Nov","3","2","4","2","Returning_Visitor","FALSE",0
1,194,0,0,21,304.275,0,0.001169591,0,0,"May","1","2","4","2","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Dec","2","2","6","13","Returning_Visitor","FALSE",0
3,17,0,0,18,407.5,0,0.02,0,0,"May","2","2","6","5","Returning_Visitor","TRUE",0
0,0,0,0,45,747.0428571,0.017777778,0.031296296,0,0,"Nov","3","2","1","13","Returning_Visitor","FALSE",0
11,326.4946809,0,0,92,4637.53842,5e-04,0.011495239,17.28402947,0,"Nov","4","1","4","3","Returning_Visitor","FALSE",0
0,0,0,0,10,455,0,0.022222222,25.7526389,0,"Dec","1","1","2","2","New_Visitor","FALSE",1
0,0,0,0,31,631.0857143,0.012903226,0.02078853,0,0,"June","2","2","8","1","Returning_Visitor","FALSE",0
9,122.5171429,0,0,167,3890.865924,0.002339181,0.009653998,0,0,"Jul","2","2","1","2","Returning_Visitor","FALSE",0
0,0,0,0,29,1721.125,0.042528736,0.071264368,0,0.6,"May","3","2","2","13","Returning_Visitor","FALSE",0
9,88.60416667,0,0,114,2997.00203,0,0.005989942,32.56725746,0,"Nov","2","4","2","2","Returning_Visitor","FALSE",1
0,0,0,0,36,5300.291667,0,0.005714286,0,0,"Nov","2","4","6","2","Returning_Visitor","FALSE",0
3,59.5,0,0,3,47.2,0.033333333,0.05,0,0,"Aug","1","1","1","4","New_Visitor","FALSE",0
7,187.8333333,0,0,36,1775.516667,0,0.0089599,4.745736842,0,"Mar","1","1","1","10","Returning_Visitor","FALSE",1
2,26,0,0,38,1689.708333,0.0125,0.0295,0,0,"Nov","2","2","1","13","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Dec","2","4","3","1","Returning_Visitor","FALSE",0
0,0,0,0,13,303.4,0,0.016666667,239.98,0,"May","2","2","5","2","Returning_Visitor","FALSE",1
6,52,1,24,56,3763.166667,0.003389831,0.01480226,10.37042373,0,"Mar","2","2","1","1","Returning_Visitor","FALSE",1
2,77,0,0,32,1223.416667,0,0.010784314,215.0094118,0,"May","3","2","4","2","Returning_Visitor","FALSE",1
4,70.25,1,139.5,58,3022.370406,0,0.009611111,0,0,"Nov","1","1","2","2","New_Visitor","FALSE",1
0,0,0,0,14,1789.39881,0,0.029047619,0,0,"Mar","1","1","2","2","Returning_Visitor","FALSE",0
0,0,0,0,5,226,0.086666667,0.133333333,0,0,"May","1","1","1","1","Returning_Visitor","FALSE",0
0,0,0,0,27,321.6666667,0.051190476,0.07224026,0,0.8,"May","3","2","1","1","Returning_Visitor","FALSE",0
2,18.33333333,0,0,36,1387.606061,0.005263158,0.025438596,0,0,"Mar","2","2","8","1","Returning_Visitor","TRUE",0
0,0,0,0,2,34,0,0.1,0,0,"May","2","2","1","4","Returning_Visitor","TRUE",0
2,88,0,0,16,1106.333333,0.025,0.053125,0,0,"Mar","1","1","3","3","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Mar","2","2","1","1","Returning_Visitor","FALSE",0
10,316.1405025,7,321.6666667,287,12983.78771,0.000668896,0.006998399,1.088158231,0,"Mar","2","4","3","8","New_Visitor","FALSE",0
0,0,0,0,22,903.4305556,0.00952381,0.021428571,0,0,"Nov","2","2","7","8","Returning_Visitor","FALSE",0
0,0,0,0,2,0,0.2,0.2,0,0,"May","2","2","2","3","Returning_Visitor","FALSE",0
14,243.1666667,0,0,34,671.6428571,0,0.016216216,0,0,"Dec","4","5","3","1","Returning_Visitor","FALSE",0
0,0,0,0,5,404.5,0,0.05,0,0,"Nov","2","2","1","13","Returning_Visitor","FALSE",0
2,82.6,0,0,10,352,0,0.007692308,27.19298393,0,"Sep","2","2","1","2","New_Visitor","TRUE",1
2,675.3333333,0,0,46,1103.916667,0,0.004081633,0,0.8,"May","2","4","4","4","Returning_Visitor","FALSE",0
0,0,0,0,19,753.3,0,0.002222222,0,0,"Aug","2","4","1","4","Returning_Visitor","FALSE",0
3,90,0,0,4,126,0,0.014285714,0,0,"May","2","2","6","5","New_Visitor","FALSE",0
0,0,0,0,3,1952.5,0.066666667,0.122222222,0,0,"Nov","1","1","2","1","Returning_Visitor","FALSE",0
10,187.7166667,1,11,29,277.35,0,0.021904762,0,0,"Sep","3","2","9","5","Returning_Visitor","FALSE",0
1,77,1,335,33,3583.166667,0.02,0.045170068,11.15734286,0,"May","2","2","3","11","Returning_Visitor","TRUE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Dec","3","2","1","13","Returning_Visitor","FALSE",0
0,0,0,0,16,2515.1,0.053571429,0.070238095,0,0,"May","3","2","2","3","Returning_Visitor","FALSE",0
2,10.66666667,0,0,34,541.5,0.017142857,0.03352381,0,0,"May","3","2","4","13","Returning_Visitor","FALSE",0
4,126,0,0,22,633.9857143,0.004166667,0.021296296,0,0,"May","3","2","4","2","Returning_Visitor","FALSE",0
0,0,0,0,33,1246.708333,0.03030303,0.056986532,0,0,"Dec","3","2","1","2","Returning_Visitor","FALSE",0
0,0,1,232,16,343.2,0,0.006666667,0,0.4,"May","2","2","1","2","Returning_Visitor","FALSE",0
8,26.41666667,1,391,61,1037.807143,0.003174603,0.027115142,0,0.6,"May","2","5","2","2","Returning_Visitor","FALSE",0
0,0,0,0,28,630.0833333,0.013580247,0.032839506,0,0,"Nov","1","1","1","10","Returning_Visitor","TRUE",0
3,63,0,0,31,770.5833333,0.005714286,0.023809524,0,0,"Dec","2","2","1","8","Returning_Visitor","FALSE",0
2,59.5,1,20,96,5604.977381,0.004888889,0.016624762,5.344898889,0,"May","2","7","1","6","Returning_Visitor","FALSE",1
3,115,0,0,6,132.75,0,0.022222222,0,0,"Dec","1","1","7","2","New_Visitor","TRUE",0
8,964.25,6,182.1666667,134,5889.730504,0.028910577,0.053431066,0,0,"Nov","3","2","1","3","Returning_Visitor","FALSE",0
0,0,0,0,18,211.4166667,0.033333333,0.061111111,0,0,"Nov","2","2","5","3","Returning_Visitor","TRUE",0
2,49.5,0,0,260,8555.765985,0.005401961,0.017330846,0,0,"Nov","1","2","1","2","Returning_Visitor","FALSE",1
3,77.5,0,0,35,1000.8,0,0.013888889,0,0,"Dec","4","2","1","6","Returning_Visitor","FALSE",0
2,18.75,4,355.5,57,1182.590278,0.015384615,0.027094017,14.15437174,0,"Nov","1","1","1","10","Returning_Visitor","FALSE",1
0,0,0,0,66,1216.352121,0,0,62.853261,0,"Sep","2","2","4","2","New_Visitor","FALSE",1
0,0,0,0,48,691.3572797,0.034873188,0.082209406,0,0,"Nov","3","2","3","3","Returning_Visitor","FALSE",0
0,0,0,0,12,136.5,0.016666667,0.033333333,0,0,"May","2","2","3","3","Returning_Visitor","FALSE",0
0,0,0,0,2,74,0.1,0.15,0,0,"Mar","3","2","1","3","Returning_Visitor","FALSE",0
0,0,0,0,9,171,0.022222222,0.066666667,0,0,"Mar","2","10","4","3","Returning_Visitor","FALSE",0
0,0,0,0,5,298,0.04,0.05,0,0,"Nov","3","2","8","3","Returning_Visitor","FALSE",0
1,5,2,17,126,5276.227193,0.011548556,0.033933258,0,0,"Dec","2","2","9","1","Returning_Visitor","TRUE",0
3,120.6666667,0,0,8,261.6,0,0.01,0,0,"May","2","7","1","2","New_Visitor","FALSE",0
17,239.9288462,2,60.5,49,1929.185664,0.017486339,0.025063352,2.580028334,0,"Dec","3","2","1","13","Returning_Visitor","FALSE",0
1,19.6,0,0,0,0,0,0.088888889,0,0,"Oct","3","5","1","5","Returning_Visitor","FALSE",0
4,72,0,0,4,46.5,0.04,0.06,0,0,"Nov","3","2","2","3","Returning_Visitor","FALSE",0
0,0,0,0,12,471.5,0.016666667,0.066666667,0,0,"Mar","1","1","6","3","Returning_Visitor","FALSE",0
0,0,0,0,9,265.6,0.022222222,0.048148148,0,0,"May","2","4","3","4","Returning_Visitor","FALSE",0
0,0,0,0,9,147,0.022222222,0.014814815,0,0,"May","2","2","7","3","Returning_Visitor","FALSE",0
0,0,0,0,15,894,0,0.015384615,0,0,"May","2","2","7","4","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"May","2","2","1","13","Returning_Visitor","TRUE",0
0,0,1,0,37,1358.75,0.001754386,0.03245614,0,0,"Mar","2","5","3","1","Returning_Visitor","FALSE",0
13,241.7666667,0,0,12,255.3,0.002,0.036666667,0,0,"Mar","2","2","8","2","Returning_Visitor","FALSE",0
6,634.5,3,312.75,172,7017.192635,0.001396648,0.019865374,0,0,"Nov","2","4","1","2","Returning_Visitor","FALSE",0
0,0,0,0,6,192,0,0.04,0,0,"Mar","2","10","4","3","Returning_Visitor","FALSE",0
3,91,0,0,13,298.2333333,0,0.04,0,0,"May","1","1","1","6","Returning_Visitor","FALSE",0
1,4,0,0,13,161.1666667,0.024615385,0.061538462,0,0.6,"May","2","5","9","5","Returning_Visitor","FALSE",0
0,0,0,0,5,197,0,0.06,0,0,"May","2","2","7","3","Returning_Visitor","TRUE",0
9,158.3555639,3,177.8,96,4162.538005,0.012378641,0.025287479,3.582981195,0,"Sep","3","2","5","13","Returning_Visitor","FALSE",0
1,143,4,48,16,333.75,0,0.003333333,0,0,"Mar","1","1","1","2","New_Visitor","FALSE",0
6,174.4571429,2,24.2,107,1688.2494,0,0.016407828,2.385969641,0,"June","2","4","1","2","Returning_Visitor","TRUE",0
8,131.9642857,7,1039.166667,61,1407.446429,0.000533333,0.019203175,0,0,"Dec","2","2","1","2","Returning_Visitor","FALSE",0
16,314.505,0,0,37,1048.663333,0,0.008695652,87.25396293,0,"Nov","1","1","3","2","New_Visitor","FALSE",1
4,117.8,0,0,12,267.8,0.025,0.04375,0,0,"Sep","3","2","3","13","Returning_Visitor","FALSE",0
0,0,0,0,20,869.8,0.011111111,0.033333333,0,0,"May","3","2","4","2","Returning_Visitor","TRUE",0
0,0,0,0,13,171.5,0.019230769,0.080769231,0,0.8,"May","2","2","1","1","Returning_Visitor","FALSE",0
0,0,0,0,13,323.3,0.084615385,0.102564103,0,0,"June","3","2","1","1","Returning_Visitor","FALSE",0
3,77.6,0,0,3,8,0.033333333,0.066666667,0,0,"June","2","2","6","2","Returning_Visitor","FALSE",0
1,29.2,0,0,66,1364.873333,0.0171875,0.036488095,16.1347001,0,"Jul","1","1","8","1","Returning_Visitor","TRUE",0
0,0,0,0,9,303.6666667,0.005555556,0.046296296,0,0,"Feb","2","4","5","2","Returning_Visitor","FALSE",0
2,33,0,0,28,898.5,0,0.013333333,0,0,"Mar","2","10","6","10","Returning_Visitor","FALSE",0
0,0,0,0,16,511.2,0.0125,0.01875,0,0,"Jul","2","2","3","3","Returning_Visitor","FALSE",0
0,0,0,0,3,20,0,0.066666667,0,0,"Dec","2","4","3","2","Returning_Visitor","FALSE",0
2,14,0,0,49,789.9583333,0.004166667,0.015097222,0,0,"Mar","3","2","7","1","Returning_Visitor","FALSE",0
0,0,0,0,5,155,0.04,0.053333333,0,0,"Mar","2","2","1","2","Returning_Visitor","FALSE",0
0,0,0,0,20,644.4,0,0.007777778,0,0,"Mar","1","1","7","3","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Mar","2","4","1","1","Returning_Visitor","FALSE",0
5,1321.25,0,0,7,54.5,0,0.04,0,0.2,"May","3","2","2","2","Returning_Visitor","FALSE",0
4,214,1,0,5,259,0,0.0375,0,0,"May","1","1","1","3","New_Visitor","TRUE",0
0,0,0,0,8,143.2,0,0.029166667,0,0,"Nov","3","2","1","2","Returning_Visitor","FALSE",0
0,0,0,0,5,70,0.04,0.12,0,0,"May","1","1","1","3","Returning_Visitor","FALSE",0
0,0,0,0,13,208.8333333,0.030769231,0.088461538,0,0.4,"May","2","2","6","4","Returning_Visitor","FALSE",0
8,377.5128205,3,265,60,2062.890972,0.014009662,0.026580162,1.70506715,0,"Mar","1","1","4","2","Returning_Visitor","FALSE",1
8,82.85,0,0,84,2289.079157,0.002556818,0.013110506,0,0,"June","1","1","7","3","Returning_Visitor","FALSE",0
4,124,0,0,3,165,0,0.033333333,0,0,"May","2","6","4","1","Returning_Visitor","FALSE",0
0,0,3,45.5,117,3228.502137,0.005932203,0.018995891,0,0,"Nov","1","2","1","2","Returning_Visitor","TRUE",0
1,23,0,0,15,656.25,0.028571429,0.028571429,0,0,"Mar","1","1","8","2","Returning_Visitor","TRUE",0
2,123,2,306.3333333,18,483.8333333,0,0.02,0,0,"Mar","2","2","4","1","Returning_Visitor","FALSE",0
0,0,0,0,9,148.3333333,0.04,0.058,0,0,"May","3","2","6","3","Returning_Visitor","FALSE",0
0,0,0,0,23,2420.65,0.013043478,0.047826087,0,0,"Nov","4","1","9","3","Returning_Visitor","FALSE",0
2,44,0,0,16,672.5,0.005555556,0.025925926,0,0,"Mar","2","2","4","2","Returning_Visitor","TRUE",0
3,96.8,0,0,29,2041.626667,0.026075269,0.047324629,0,0,"Sep","2","2","3","1","Returning_Visitor","FALSE",0
0,0,0,0,2,10,0,0.1,0,0,"Dec","1","1","2","2","New_Visitor","FALSE",0
0,0,0,0,11,337,0.045454545,0.061818182,0,0,"Mar","1","1","9","3","Returning_Visitor","FALSE",0
1,8,0,0,29,826.85,0.007142857,0.029591837,10.98707143,0,"May","1","1","3","4","Returning_Visitor","FALSE",1
1,60.5,0,0,10,449.5,0.025,0.033333333,0,0,"Dec","1","8","2","20","Returning_Visitor","FALSE",0
10,164.0666667,0,0,37,1553.52381,0.005128205,0.01025641,0,0,"Sep","2","2","1","2","Returning_Visitor","FALSE",0
0,0,0,0,7,223,0,0.028571429,0,0,"Mar","1","1","1","1","Returning_Visitor","FALSE",0
0,0,0,0,8,140.25,0.121428571,0.14375,0,0,"Dec","3","2","2","13","Returning_Visitor","FALSE",0
0,0,0,0,16,650.8333333,0,0.019047619,13.99,0,"May","2","2","7","2","Returning_Visitor","FALSE",1
4,27,0,0,42,601.7666667,0,0.004545455,0,0,"Mar","2","5","3","3","Returning_Visitor","FALSE",0
2,52.5,0,0,13,605.5,0,0.006666667,0,0,"Nov","2","2","3","2","Returning_Visitor","FALSE",0
1,14,0,0,11,239.5833333,0,0.016666667,0,0,"Nov","2","2","6","1","Returning_Visitor","TRUE",0
3,159,2,55.5,23,1100.125,0,0.011111111,0,0.4,"May","3","2","4","14","Returning_Visitor","FALSE",0
0,0,0,0,2,52,0,0.1,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE",0
0,0,0,0,8,83.5,0.075,0.1,0,0,"Dec","2","2","5","2","Returning_Visitor","FALSE",0
1,44,0,0,1,0,0,0.066666667,0,0,"Sep","1","1","1","5","New_Visitor","FALSE",1
1,3,0,0,3,236,0,0.025,0,0,"Mar","3","2","1","3","Returning_Visitor","TRUE",0
2,77.5,0,0,19,598.7833333,0,0.002631579,0,0,"Mar","3","2","2","9","New_Visitor","TRUE",0
4,80.5,0,0,27,472.5,0,0.015384615,0,0,"Dec","4","1","3","1","Returning_Visitor","TRUE",0
2,168.4,0,0,10,208,0,0.008333333,0,0,"Nov","3","2","5","2","New_Visitor","FALSE",0
4,83.25,0,0,152,4307.409559,0.002631579,0.005971036,0.305312057,0,"Dec","2","2","1","2","Returning_Visitor","FALSE",1
0,0,0,0,44,831.6083333,0,0.013178295,0,0,"May","2","2","2","2","Returning_Visitor","FALSE",0
0,0,0,0,5,214,0,0.04,0,0,"May","3","2","8","1","Returning_Visitor","FALSE",0
0,0,0,0,3,95,0.066666667,0.133333333,0,0,"Nov","1","1","9","3","Returning_Visitor","FALSE",0
5,241.35,0,0,5,244.7,0.011111111,0.033333333,0,0,"Nov","2","2","4","1","Returning_Visitor","TRUE",0
6,149.7619048,3,267.25,120,3934.201024,0.002459016,0.023646,8.788976395,0,"Nov","2","2","4","2","Returning_Visitor","TRUE",0
4,94,0,0,34,1159.666667,0.005714286,0.019142857,16.12416,0,"May","1","8","1","4","Returning_Visitor","FALSE",0
0,0,0,0,59,1889.7,0.005747126,0.014203612,0,0.6,"May","2","2","1","3","Returning_Visitor","FALSE",0
0,0,0,0,21,642.4642857,0.028571429,0.057142857,0,0,"Dec","2","2","6","2","Returning_Visitor","TRUE",0
1,58.5,1,0,11,1012.166667,0,0.041666667,62.86831138,0,"Nov","2","2","1","1","Returning_Visitor","FALSE",1
2,113,2,501,14,381.75,0,0.035294118,0,0,"Dec","2","10","2","2","Returning_Visitor","FALSE",0
0,0,0,0,23,2225.288889,0.004347826,0.021516165,0,0,"Nov","1","1","4","1","Returning_Visitor","FALSE",0
3,33,2,84.5,4,46.5,0,0.010666667,0,0,"Mar","2","2","5","8","New_Visitor","FALSE",0
6,102.5,1,10,23,237.25,0,0.005185185,0,0,"May","2","2","1","4","Returning_Visitor","FALSE",0
4,176.9133333,1,40.8,72,1548.194444,0,0.007887882,1.891943485,0,"Aug","2","4","3","5","Returning_Visitor","FALSE",1
10,340.9,3,269.8,99,3611.978569,0.000641026,0.00210649,0.847337986,0,"June","2","2","1","7","Returning_Visitor","FALSE",1
0,0,0,0,8,181,0.025,0.070833333,0,0,"Nov","2","2","4","13","Returning_Visitor","FALSE",0
4,95.8,2,35.7,14,380.2666667,0,0.011111111,0,0,"Oct","2","4","7","2","New_Visitor","FALSE",0
2,21.25,0,0,15,305.2083333,0,0.010784314,0,0,"Nov","2","4","7","2","Returning_Visitor","FALSE",0
0,0,0,0,8,105,0,0.0125,0,0,"May","4","1","1","3","Returning_Visitor","FALSE",0
0,0,0,0,8,123,0,0.014285714,59.988,0,"May","2","2","1","2","New_Visitor","FALSE",1
1,23.2,0,0,27,1061.55,0.003703704,0.018518519,43.29821166,0,"Aug","2","2","6","5","Returning_Visitor","FALSE",1
0,0,0,0,12,155,0.066666667,0.091666667,0,0,"Nov","4","2","1","1","Returning_Visitor","FALSE",0
3,78.5,0,0,10,673,0.015384615,0.01025641,0,0.6,"May","1","2","1","4","New_Visitor","FALSE",0
10,779.45,0,0,39,1002.491667,0.01875,0.033796296,0,0,"Nov","3","2","1","3","Returning_Visitor","FALSE",0
4,56,2,120,36,998.7416667,0,0.014736467,19.44707913,0.2,"Feb","2","2","4","1","Returning_Visitor","FALSE",0
5,205.5,1,8,37,1683.633333,0,0.017261905,4.744206349,0,"May","3","2","8","2","Returning_Visitor","TRUE",0
3,61,0,0,31,1470.416667,0,0.006666667,0,0,"May","1","2","1","3","New_Visitor","FALSE",0
7,58.6,0,0,20,585.8833333,0.017391304,0.044637681,0,0,"Jul","1","1","1","4","Returning_Visitor","TRUE",0
1,29.2,0,0,0,0,0,0.066666667,0,0,"Nov","1","1","4","2","Returning_Visitor","TRUE",1
0,0,0,0,1,0,0.2,0.2,0,0,"Mar","3","2","3","1","Returning_Visitor","FALSE",0
2,110.5,1,48,5,156,0,0.028571429,0,0,"Dec","2","2","1","2","New_Visitor","FALSE",0
0,0,0,0,2,10,0,0.1,0,0,"May","1","1","1","3","Returning_Visitor","FALSE",0
0,0,0,0,10,724,0,0.022222222,97.98,0,"May","1","1","4","2","New_Visitor","TRUE",1
0,0,0,0,6,63.5,0,0.016666667,0,0.4,"May","3","2","7","4","Returning_Visitor","FALSE",0
0,0,0,0,8,128.5,0,0.025,0,0,"Mar","2","2","1","1","Returning_Visitor","FALSE",0
0,0,0,0,5,143,0,0.04,0,0,"Mar","2","4","1","1","Returning_Visitor","FALSE",0
0,0,9,1779.166667,12,1886.5,0.007017544,0.019298246,0,0.6,"May","2","2","6","3","New_Visitor","FALSE",0
0,0,0,0,9,73.66666667,0,0.022222222,0,0.2,"May","2","2","1","3","Returning_Visitor","FALSE",0
5,197,4,246,17,427.0833333,0,0.008695652,0,0,"Mar","1","1","3","2","New_Visitor","FALSE",0
1,9,0,0,15,266,0.028571429,0.057142857,0,0.8,"May","4","2","1","13","Returning_Visitor","FALSE",0
0,0,0,0,5,46.75,0,0.04,0,0,"Dec","1","1","3","3","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"May","1","1","1","3","Returning_Visitor","TRUE",0
0,0,0,0,23,684.5,0.02173913,0.044927536,0,0.8,"May","2","2","2","6","Returning_Visitor","FALSE",0
2,37,0,0,29,911.5,0.022988506,0.065517241,0,0.2,"May","2","7","3","4","Returning_Visitor","FALSE",0
0,0,0,0,5,99.66666667,0,0.04,0,0.6,"May","2","2","5","4","Returning_Visitor","FALSE",0
1,0,0,0,20,816.5,0.05,0.093333333,0,0.8,"May","3","2","3","13","Returning_Visitor","FALSE",0
0,0,0,0,2,0,0.2,0.2,0,0,"Mar","1","1","1","10","Returning_Visitor","FALSE",0
0,0,0,0,4,86,0,0.025,0,0,"Dec","2","5","1","8","New_Visitor","TRUE",0
1,0,0,0,18,1489.083333,0.023529412,0.046470588,0,0,"Mar","2","2","8","1","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"May","1","1","1","1","Returning_Visitor","FALSE",0
0,0,0,0,3,428.5,0,0.066666667,0,0,"Nov","1","1","3","8","Returning_Visitor","FALSE",1
10,317.9583333,4,821,20,781.425,0,0.002666667,0,0,"Dec","2","2","7","2","Returning_Visitor","FALSE",0
2,64.5,1,0,97,2696.10873,0.003436426,0.021408935,5.770973155,0,"Nov","2","2","1","13","Returning_Visitor","FALSE",1
